School of Computer Science and Engineering,,,,,,,,
School of Computer Science and Engineering,,,,,,,,
Department of Computer Science and Applications,,,,,,,,
"LAB ALLOCATION  (I,III,V,VII) ( 2025-26 )",,,,,,,,
,,,,,,,,
SR NO.,Room No,Capacity,Time,Mon,Tue,Wed,Thu,Fri
1,VY426 (LAB),62,9.00-1.00,"RIDE ( 11,12,13 AUG) (MON,TUE,WED)",,,,
,,,8.30-10.30,SYBSC DIV A,SYBSC DIV B,SYBSC DIV C,SYBSC DIV B,SYBSC DIV A
,,,10.30-12.30,SYMSCDSBA ,SYMSCDSBA ,SYMSCDSBA ,SYMSCDSBA ,BSC HONOURS
,,,12.30-2.30,TYBSC CS ,,TYBSC CS ,FYBCA -D,FYBCA -B
,,,2.30-4.30,,,,FYBCA -D,FYBCA -B
,,62,9.00-1.00,"RIDE ( 11,12,13 AUG) (MON,TUE,WED)",,,,
2,VY427 (LAB),,8.30-10.30,SYBCA - A,SYBSC DIV C,SYBCA - A,SYMSC  CS   (8.30-11.30),SYMSC  CS   (8.30-11.30)
,,,10.30-12.30,SYMCA - A,SYMCA - B,SYMCA - C,,
,,,12.30-2.30,TYBSC CYBER,TYBSC CYBER,TYBSC CYBER,TYBCA DIV C ,TYBCA DIV D
,,,2.30-4.30,,TYBSC CYBER,TYBSC CYBER,TYBCA DIV C ,TYBCA DIV D 
3,VY428 (LAB),62,8.30-10.30,FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR)
,,,10.30-12.30,FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR),FYBSC DIV A (TH+PR)
,,,12.30-2.30,TY BSC CLOUD,,FYBSC DIV B (TH+PR),SYBSCDSBDA (1.30-3.30),FYBSC DIV A (TH+PR) (upto 3.30)
,,,2.30-4.30,TY BSC CLOUD,,,,
4,VY429 (LAB),62,8.30-10.30,FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR)
,,,10.30-12.30,FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR),FYBSC DIV B (TH+ PR)
,,,12.30-2.30,TYBCA DIV A,TYBCA DIV B,FYBCA -C,FYBCA -C,TYBSC CYBER
,,,2.30-4.30,TYBCA DIV A,TYBCA DIV B,FYBCA -C,,TYBSC CYBER
,,,4.30-6.30,,,,,
5,VY 526 (LAB),62,9.00-1.00,"RIDE ( 11,12,13 AUG) (MON,TUE,WED)",,,,
,,,9.30-11.30,FYMCA - A ,FYMCA - D,FYMCA - C,FYMCA - C,FYMCA - A
,,,11.30-1.30,FYBCA - D,FYBCA -B ,FYBCA - A,FYBCA - A,FYBCA - A
,,,1.30-4.30,BSC HONOURS,BSC HONOURS,BSC HONOURS,BSC HONOURS,BSC HONOURS
,,,4.30-6.30,BSC HONOURS,BSC HONOURS,BSC HONOURS,BSC HONOURS,BSC HONOURS
6,VY527 (LAB),62,8.30-10.30,SYBCA - B,SYBCA - C,SYBCA - B,SYBCA - C,SYBCA - D
,,,10.30-11.30,FYBCA - C,FYBCA -B ,SYBCA - D (11.30-12.30),TYBSC CS - PE I,
,,,"
11.30-1.30",FYDSBDA ,FYDSBDA ,FYDSBDA  (12.30-2.30),FYMSC  ,FYMSC  
,,,1.30-3.30,"TYBCA DIV C
Data Visualization","TYBCA DIV D
Data Visualization",,"TYBCA DIV A
Data Visualization",SYBSCDSBDA (1.30-3.30)
,,,3.30-5.30,,,,,
,VY528 (LAB),,9.00-1.00,"RIDE ( 11,12,13 AUG) (MON,TUE,WED)",,,,
7,,62,8.30-10.30,FYMCA - E (9:30 - 11:30),FYMCA- B,FYMCA - B (9:30 - 11:30),SYBCA - D,TYDSBDA (8.30-10.30)
,,,10.30-12.30,SYMCA (Elective) (11:30-12:30),SYMCA - A (MP),SYMCA (Regular) (11:30 - 12:30),SYMCA - B (MP),SYMCA - C (MP)
,,,12.30-1.30,SYMCA (Elective) (12:30 - 1:30),SYMCA (Elective) (12:30 - 1:30),SYMCA (Elective) (12:30 - 1:30),SYMCA (Elective) (12:30 - 1:30),SYMCA (Elective) (12:30 - 1:30)
,,,1.30-2.30,BSCDSBDA HONORS (1.30-2.30),,TY BSC CLOUD (1.30-3.30),"TYBCA DIV B
Data Visualization LAB",
8,VY529 (LAB),62,8.30-10.30,SYBSCDSBDA,SYBSCDSBDA ,BSC HONOURS (9.30-10.30),FYMCA - D,FYMCA - E (9:30 - 11:30)
,,,10.30-12.30,BSC HONOURS,BSC HONOURS,BSC HONOURS,,
,,,12.30-2.30,FYMSC CS (12.30-1.30),SYBSCDSBDA (1.30-3.30),SYBSCDSBDA (1.30-3.30),TYBSC CS ,TYBSC CS 
,,,2.30-4.30,BCA HONOURS (1.30-3.30),,,,
9,VY412 (LAB),32,8.30-10.30,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS
,,,10.30-12.30,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS,CYBER HONOURS
,,,12.30-2.30,CYBER HONOURS,,CYBER HONOURS,BCA HONOURS,BCA HONOURS
,,,2.30-4.30,CYBER HONOURS,,SYBSC ele PR,,
10,VY406 (LAB),32,8.30-10.30,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS
,,,10.30-12.30,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS,CLOUD HONOURS
,,,12.30-2.30,SYMSC BT,SYMSC BT,SYMSC BT,SYMSC BT,SYMSC BT
,,,2.30-5.30,SYMSC BT,SYMSC BT,SYMSC BT,SYMSC BT,SYMSC BT
11,VY422 (Electronics LAB),32,8.30-10.30,SYBSC CS (BATCH C),SYBSC CS (BATCH A),SYBSC CS (BATCH B),,SYBSC CS (BATCH E) 
,,,10.30-12.30,,,,,
,,,1.30-3.30,FYBSC DIV B BATCH D,FYBSC DIV A BATCH B,FYBSC DIV A BATCH A,FYBSC DIV B BATCH C,SYBSC CS (BATCH D) (2.30-4.30)
,,,2.30-4.30,,,,SYBSC CS (BATCH F),
12,VY512 (LAB),32,8.30-10.30,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS
,,,10.30-12.30,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS
,,,12.30-2.30,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT
,,,2.30-5.30,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT
13,VY513 (LAB),32,8.30-10.30,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS
,,,10.30-1.30,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS
,,,12.30-1.30,CLOUD HONOURS (1.30-3.30),BCA HONOURS,CLOUD HONOURS (1.30-2.30),,
,,,1.30-2.30,CLOUD HONOURS (1.30-3.30),CLOUD HONOURS (2.30-4.30),CLOUD HONOURS (2.30-4.30),CLOUD HONOURS (1.30-3.30),CLOUD HONOURS (1.30-3.30)
,,,2.30-5.30,,CLOUD HONOURS (2.30-4.30),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Time Table 
Committee","Dr Anuradha Kanade
Program Director
DOCSA
MIT-WPU",,"Dr.Sharmishtha Desai
Associate Dean
Academics
SOCSE
MIT-WPU",,"Prof.Dr Shubhlaxmi Joshi
Associate Dean
Faculty Affairs
SOCSE
MIT-WPU",,"Prof.Dr.Siddharth Chakarbarti
Dean
FOET
MIT-WPU",